CONDITION,DIAGNOSTIC BASKET,DIAGNOSTIC BASKET,DIAGNOSTIC BASKET,ONGOING MANAGEMENT BASKET,ONGOING MANAGEMENT BASKET,ONGOING MANAGEMENT BASKET,ONGOING MANAGEMENT BASKET
,PROCEDURE OR TEST DESCRIPTION,PROCEDURE OR TEST CODE,NUMBER OF PROCEDURES OR TESTS WE COVER,PROCEDURE OR TEST DESCRIPTION,PROCEDURE OR TEST CODE,NUMBER OF PROCEDURES OR TESTS WE COVER,NUMBER OF SPECIALISTS WE COVER EACH YEAR
Diabetes Mellitus Type 1,,,,Fundus examination,3003,1,
Diabetes Mellitus Type 2,ECG – Electrocardiogram,1232 or 1233,1,ECG – Electrocardiogram,1232 or 1233,1,1 (Ophthal- mologist) 1 (Other Specialist)
Diabetes Mellitus Type 2,Microalbuminuria,4261 or 4262,1,Microalbuminuria,4261 or 4262,2,
Diabetes Mellitus Type 2,HDL cholesterol,4028,1,HDL cholesterol,4028,1,
Diabetes Mellitus Type 2,Total cholesterol,4027,1,Total cholesterol,4027,1,
Diabetes Mellitus Type 2,LDL cholesterol,4026,1,LDL cholesterol,4026,1,
Diabetes Mellitus Type 2,Triglycerides,4147,1,Triglycerides,4147,1,
Diabetes Mellitus Type 2,Urine analysis (dipstick),4188,1,Urine analysis (dipstick),4188,4,
Diabetes Mellitus Type 2,U & E only,4171,1,U & E only,4171,1,
Diabetes Mellitus Type 2,Urine creatinine,4221,1,Urine creatinine,4221,1,
Diabetes Mellitus Type 2,Glucose – random/fasting,4057,1,HbA1c,4064,4,
Diabetes Mellitus Type 2,Serum creatinine,4032 or 4223,1,Serum creatinine,4032 or 4223,1,
Diabetes Mellitus Type 2,Two-hour glucose- OGTT,4049,1,Tonometry,3014,1,
Diabetes Mellitus Type 2,,,,Basic capital equipped in own rooms by ophthalmologists,3009,1,
Diabetes Mellitus Type 2,,,,Fundus examination,3003 or 3004,1,
Diabetes Mellitus Type 2,,,,Podiatrist,68301 or 68302,1,
Diabetes Mellitus Type 2,,,,Diabetes Educator,DFSC1,2,
Diabetes Mellitus Type 2,,,,Dietitian,84200 or 84201,1,
Epilepsy,"Clinical interpretation and report of item 2711: Electro-encephalogram (EEG): 20-40
minutes record (Professional component)",2712,1,"Clinical interpretation and report of item 2711: Electro-encephalogram (EEG): 20-40
minutes record (Professional component)",2712,1,3
Epilepsy,"Electro-encephalogram (EEG): 20-40
minutes record: (done by Medical Practitioners) 2711 or EEG with special activation (done by Clinical Technologists) 75133",2711,1,"Electro-encephalogram (EEG): 20-40
minutes record: (done by Medical Practitioners) 2711 or EEG with special activation (done by Clinical Technologists) 75133",2711,1,
Epilepsy,,,,Drug level in biological fluid,4081,3,
Haemophilia,Full blood count,3755,1,Full blood count,3755,1,2
Haemophilia,Platelet count,3797,1,Platelet count,3797,1,
Haemophilia,Factor VIII or Factor IX antigen or Coagulation factors,3758 or,1,Factor VIII or Factor IX inhibitors,3724,1,
Haemophilia,Fibrinogen titre,3825,1,,,,
Haemophilia,Bleeding time,3713,1,,,,
Haemophilia,PTT - Partial thromboplastin time,3837,1,,,,
Haemophilia,Thrombin time,3841,1,,,,
Haemophilia,Therapeutic drug level: Dosage,3806,1,,,,
Hyperlipidaemia,Total cholesterol,4027,1,Total cholesterol,4027,1,0
Hyperlipidaemia,LDL cholesterol,4026,1,LDL cholesterol,4026,1,
Hyperlipidaemia,HDL cholesterol,4028,1,HDL cholesterol,4028,1,
Hyperlipidaemia,Triglycerides,4147,1,Triglycerides,4147,1,
Hyperlipidaemia,Thyrotropin (TSH),4507,1,AST – Aspartate aminotransferase,4130,1,
Hyperlipidaemia,,,,ALT – Alanine aminotransferase,4131,1,
Hypertension,ECG – Electrocardiogram,1232,1,ECG – Electrocardiogram,1232,1,1
Hypertension,Glucose – random/fasting,4057,1,Glucose – random/fasting,4057,1,
Hypertension,Total cholesterol,4027,1,Total cholesterol,4027,1,
Hypertension,Creatinine,4032,1,Creatinine,4032,1,
Hypertension,,,,Potassium,4113,1,
Hypertension,Urine analysis (dipstick),4188,1,Urine analysis (dipstick),4188,1,
Hypertension,U & E only,4171,1,U & E only,4171,1,
Hypertension,24 Hour ambulatory blood pressure,1237,1,24 Hour ambulatory blood pressure,1237,1,
Hypothyroidism,Free thyroxine (FT4),4482,1,Free thyroxine (FT4),4482,2,0
Hypothyroidism,Thyrotropin (TSH),4507,1,Thyrotropin (TSH),4507,2,
Hypothyroidism,Total cholesterol,4027,1,,,,
